,ANAN ,ADNOCDIST ,FAB ,FERTIGLOBE ,ADNOCDRILL ,ADCB ,ALDAR ,ESHRAQ ,MANAZEL ,QIC ,UAB ,ALPHADHABI ,EMSTEEL ,ETISALAT ,DANA ,YAHSAT ,RAKCEC ,ESG ,IH ,TAQA ,AWNIC ,IHC ,ADIB ,WAHA ,METHAQ ,RAKPROP ,GHITHA ,NMDC ,SIB ,APEX ,QHOLDING ,ADAVIATION ,AGTHIA ,SCIDC ,DRIVE ,EASYLEASE ,KICO ,FBI ,SICO ,BOS ,GMPC ,ADNH ,ORDS ,ABNIC ,ADSB ,GCEM ,RAPCO ,EIC ,JULPHAR ,WATANIA ,FH ,ADNIC ,ARAM ,NCTH ,NBQ ,TKFL ,DHAFRA ,UNION ,FCI ,RAKNIC ,AFNIC ,ALAIN ,HAYAH ,BILDCO ,FOODCO ,RAKBANK ,CBI ,OEIHC ,RAKWCT ,PALMS ,SUDATEL 
"Dec 31, 2021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Dec 30, 2021",,4.27,18.84,3.52,3.40,8.53,3.990,0.3560,0.524,,,27.30,1.4200,31.70,1.060,2.74,2.850,8.00,,1.320,,152.000,6.870,1.710,0.810,0.771,27.50,13.040,1.950,6.700,4.52,4.900,5.15,0.767,21.10,29.00,,,,0.620,,3.78,,,4.000,0.7000,2.33,,1.840,,2.000,6.700,,,,6.16,,,,,,,0.654,,,4.50,0.609,,1.700,12.22,
"Dec 29, 2021",,4.25,18.90,3.52,3.40,8.40,3.990,0.3800,0.533,1.1500,,26.18,1.4200,31.00,1.050,2.74,2.850,8.19,,1.320,,154.900,6.850,1.700,0.820,0.770,27.50,12.880,1.940,6.820,4.55,4.900,5.10,0.770,20.70,27.50,,,,0.613,,3.79,,,3.620,0.7250,,,1.780,,,6.790,,,,,,,,,,,,0.249,,,0.530,,1.650,12.88,0.350
"Dec 28, 2021",,4.23,18.80,3.54,3.39,8.30,3.970,0.3840,0.537,,,25.90,1.4200,30.88,1.050,2.73,2.850,8.10,,1.330,,152.500,6.860,1.690,0.780,0.771,27.30,12.820,1.930,6.600,4.57,,5.12,0.780,21.38,26.30,1.15,,,0.610,,,,,3.700,0.7100,,,1.800,,,6.780,,,,,,,0.585,,,,,0.250,,4.40,,0.34,1.650,11.96,0.340
"Dec 27, 2021",,4.23,18.98,3.50,3.37,8.36,3.970,0.3800,0.532,,,25.30,1.4100,31.08,1.030,2.72,2.850,8.13,,1.330,,152.200,6.780,1.680,0.799,0.769,27.48,12.940,1.880,6.680,4.43,,5.15,0.760,,26.00,1.00,,,0.590,,3.78,,1.900,3.730,0.7190,,,1.790,,,6.770,,,1.85,,,,,,,,,,,,,0.34,,10.70,0.354
"Dec 26, 2021",,4.20,19.00,3.46,3.36,8.42,3.960,0.3620,0.522,,,25.18,1.4000,31.00,1.040,2.71,2.850,7.91,,1.320,,152.200,6.720,1.690,0.798,0.760,27.20,12.960,1.870,6.700,4.85,,5.19,0.759,,26.00,,,0.97,0.590,,3.78,,,3.750,0.7100,,,1.790,1.00,,6.760,,,1.65,,,,0.650,,,,,,,,,,1.650,11.52,0.350
"Dec 25, 2021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Dec 24, 2021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Dec 23, 2021",,4.24,19.14,3.48,3.43,8.48,3.990,0.3630,0.527,,,25.10,1.4100,31.08,1.040,2.72,2.860,7.70,,1.320,,152.200,6.870,1.690,0.800,0.755,29.10,12.980,1.870,6.650,4.63,4.880,5.20,0.754,,26.90,,,,0.595,,3.79,,,3.740,0.7060,,,1.800,,,6.700,,,,,,0.72,0.650,,,,,0.274,,4.40,,,1.650,11.80,
"Dec 22, 2021",,4.24,19.00,3.50,3.43,8.45,3.980,0.3620,0.534,,,25.00,1.4000,30.70,1.010,2.74,2.860,7.84,,1.340,,152.700,6.820,1.690,0.800,0.762,29.10,13.240,1.870,6.950,4.90,4.880,5.16,0.750,21.70,26.90,,,,0.599,,,,,3.790,0.7100,,,1.820,,,6.610,3.10,,,,,0.72,0.650,,,,,,,,,,1.650,11.86,0.340
