,ITHMR ,SALAM ,NASS ,GFHB ,BARKA ,BISB ,ALBH ,DUTY ,AUBB ,BBKB ,KHCB ,NHTL ,BTEL ,ZAIN ,ABCB ,NATB ,EBRIT ,INOV ,BCFC ,EICB ,PARK ,DPCB ,SEEF ,ARIG ,APMTB ,BNHB ,CNCO ,BMMI ,BKIC ,SOLID ,GTFP ,BFMC ,GHG ,BSRC 
"Dec 31, 2021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Dec 30, 2021",,0.096,,0.320,,,0.800,,0.845,0.485,,,0.583,0.140,,0.600,,,0.495,,,,,,,,,,,,,,,
"Dec 29, 2021",,0.096,,0.320,0.300,,0.800,,0.847,0.482,,,0.582,,,0.591,,,,,,,0.179,,1.33,,,0.745,,,,,,
"Dec 28, 2021",,0.097,,,,,0.800,,0.845,0.481,,,0.580,0.140,,0.591,,,,,,,0.178,,,,,,,,,,0.311,
"Dec 27, 2021",,0.096,,0.320,0.296,0.082,0.800,,0.841,0.477,,,,0.140,,0.591,,,,,,,0.178,,,,,,0.430,,,,,
"Dec 26, 2021",,0.096,,0.320,0.307,,,,0.845,0.463,,,0.580,0.140,,0.591,,,,,0.126,,0.178,,1.31,,,,0.415,0.310,,,,
"Dec 25, 2021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Dec 24, 2021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Dec 23, 2021",,0.097,,0.320,,0.082,0.800,,,0.462,,,0.579,,0.374,0.586,,,,,,,0.178,,,,,,,,,,0.315,
"Dec 22, 2021",,0.095,,0.323,,,0.800,,0.841,,,,,,,0.586,,,,,0.117,0.220,,0.465,,,,,,0.285,,0.340,0.320,
"Dec 21, 2021",,0.094,0.035,,0.310,,0.800,,0.835,0.457,,,0.576,0.134,,0.583,,,,,,,0.178,,1.28,,,,,0.277,,,0.325,
"Dec 20, 2021",,0.095,,0.313,0.315,,0.800,,0.836,0.453,,,0.577,,,,,,,,,,0.178,,,,,,0.380,,,,,
"Dec 19, 2021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Dec 18, 2021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Dec 17, 2021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Dec 16, 2021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
