,AIRA ,AJBNK ,AMANT ,AMLK ,ASCI ,ARMX ,CBD ,DAMAC ,DEYR ,DFM ,DINC ,DINV ,DISB ,AMAN ,DNIN ,EMAARDEV ,EMAR ,DU ,ENBD ,ERC ,GNAV ,SALAMA ,MASB ,NCC ,TABR ,NGIN ,OIC ,SHUA ,TKFE ,DTKF ,UPRO 
"Dec 31, 2021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Dec 30, 2021",1.450,0.824,1.150,0.723,,4.100,4.350,,0.640,2.840,,1.930,5.380,1.100,,4.370,4.890,6.620,13.550,6.580,0.312,0.761,,,2.468,,,0.685,,1.250,0.319
"Dec 29, 2021",1.450,,1.120,0.730,,4.080,4.370,,0.640,2.470,,1.920,5.430,1.100,,4.340,4.860,6.650,13.450,6.100,0.315,0.774,,,2.468,3.12,,0.686,1.190,1.280,0.321
"Dec 28, 2021",1.500,0.810,1.130,0.754,,4.120,4.350,1.400,0.643,2.510,,1.920,5.470,1.110,,4.350,4.890,6.680,13.600,6.470,0.318,0.770,,,2.468,3.00,2.600,0.682,1.290,1.290,0.324
"Dec 27, 2021",1.480,0.810,1.140,0.741,,4.100,4.250,1.400,0.644,2.500,,1.920,5.450,1.110,6.000,4.350,4.830,6.780,13.650,6.470,0.317,0.770,,,2.449,,,0.671,,1.200,0.321
"Dec 26, 2021",1.500,0.802,1.120,0.709,,4.090,4.260,,0.647,2.430,,1.900,5.380,1.100,,4.350,4.760,6.680,13.550,6.600,0.318,0.778,,,2.459,2.80,,0.668,1.220,1.200,0.328
"Dec 25, 2021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Dec 24, 2021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Dec 23, 2021",1.480,0.800,1.120,0.617,,4.060,,1.400,0.602,2.400,,1.900,5.360,1.110,5.940,4.360,4.760,6.650,13.550,6.450,0.319,0.772,,2.240,2.488,,,0.661,1.280,1.160,0.313
"Dec 22, 2021",1.460,0.800,1.120,0.637,,4.090,,1.410,0.607,2.380,,1.900,5.350,1.100,6.600,4.360,4.790,6.580,13.100,6.050,0.317,0.780,,,2.468,,,0.670,1.280,1.200,0.315
"Dec 21, 2021",1.460,0.803,1.110,0.638,,4.080,4.220,1.410,0.607,2.400,,1.890,5.420,1.110,5.800,4.390,4.800,6.650,13.450,6.000,0.321,0.780,,,2.488,3.10,,0.678,1.280,1.150,0.314
"Dec 20, 2021",1.420,0.802,1.120,0.610,,4.050,4.320,1.400,0.590,2.400,,1.880,5.400,1.090,,4.400,4.760,6.620,13.900,,0.327,0.770,,,2.468,,,0.678,,1.240,0.308
