,BKNZ ,HBMO ,AAIC ,AMCI ,BKDB ,BKMB ,BKSB ,OEIO ,SPSI ,NBOB ,VOES ,DCFI ,AMII ,AMAT ,CMII ,OIFC ,SPFI ,OCOI ,NFCI ,BATP ,SIHC ,ORDS ,NGCI ,GECS ,UFCI ,SSPW ,DIDI ,RCCI ,GFIC ,ABOB ,GMPI ,ATMI ,MCDE ,DBIH ,FINC ,AACT ,AOFS ,OFCI ,PHPC ,NAPI ,OMVS ,RNSS ,GICI ,MGMC ,AJSS ,DICS ,ONES ,OCAI ,OOMS ,SHPS ,SOMS ,SHRQ ,MTMI ,OUIC ,BACS ,OETI ,OFMI ,KPCS ,ORCI ,TFCI ,SUWP ,OSCI ,OCHL ,MHAS ,NDTI ,MSPW ,OTEL ,HECI ,BWPC ,MGCI ,MCTI ,AFAI ,SFMI ,GHOS 
"Dec 31, 2021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Dec 30, 2021",0.097,,0.093,0.446,,0.461,0.117,0.063,,0.197,0.115,,,0.094,,0.143,0.190,0.247,,0.048,,0.380,,0.073,0.058,,,,0.063,0.116,,0.368,,,,0.430,0.120,0.060,0.050,0.135,0.306,0.428,0.093,0.164,0.346,,0.084,,,,,,,0.378,,,0.784,,,0.071,0.048,,,0.684,,,0.752,0.018,,,,,,
"Dec 29, 2021",0.098,0.105,0.092,0.460,0.126,0.467,0.115,,,0.196,0.112,,0.048,0.095,0.037,0.149,0.190,0.244,,0.048,0.092,0.380,0.127,0.073,0.059,,,0.240,0.062,0.118,,0.366,0.090,0.041,,0.430,,0.056,0.049,0.133,0.310,0.436,,,0.350,,,,,0.039,,,,,,,0.760,,,,0.048,,,,,,0.752,,,,,,1.000,
"Dec 28, 2021",0.098,0.104,,0.466,0.125,0.474,0.114,0.065,,0.196,0.106,,,0.096,,0.147,,0.244,,0.048,0.090,0.380,0.128,0.073,0.060,,,0.248,0.062,0.117,,0.366,,,,0.426,0.120,,0.049,0.133,0.310,0.432,,,0.352,,0.084,,,,,,,,,,,,,0.071,,,,0.692,,,0.744,,,,,,,
"Dec 27, 2021",0.098,0.104,0.095,0.488,0.130,0.472,0.114,0.060,,0.195,0.105,,,0.094,,0.145,,0.242,,0.049,0.088,0.376,0.129,0.073,0.059,,,0.250,0.060,0.116,,0.360,0.091,,,0.404,,,0.048,0.130,0.306,0.426,0.096,0.164,0.344,,0.084,,,0.038,,,,,,,,,,0.070,0.048,,,,,,0.740,,,,,,,
"Dec 26, 2021",0.098,0.104,0.093,0.490,0.126,0.470,0.114,0.061,,0.195,0.112,,,0.095,0.043,0.144,,,,,0.089,0.372,,0.073,,,,0.250,0.060,0.117,,0.358,,,,0.410,,0.056,0.048,,0.300,0.430,,0.163,0.340,,0.084,,,0.040,,,,0.364,,,,,,0.071,0.049,,,0.692,,,0.740,,,,,,,
"Dec 25, 2021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Dec 24, 2021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Dec 23, 2021",0.098,0.104,0.094,0.490,0.126,0.472,0.115,0.065,,0.192,,,,0.096,,0.145,,0.240,0.092,0.049,,0.370,0.129,0.075,,,,0.246,0.061,0.118,,0.362,0.092,,,0.400,0.120,,0.050,0.135,0.306,0.430,,0.164,0.344,,0.084,,0.888,0.041,,,,0.360,,,,,,,0.049,,0.190,0.660,,,0.736,,,,,,1.000,
"Dec 22, 2021",0.098,0.103,0.094,0.500,0.126,0.474,0.112,0.065,,0.192,,,0.048,0.094,,0.145,,0.242,0.092,0.047,0.088,0.364,0.128,0.074,0.060,,,0.244,0.063,0.116,,0.364,0.090,,,0.390,0.118,0.055,0.050,0.133,0.310,0.428,,,0.340,,0.084,,,,,0.11,,0.350,0.146,,0.788,,,0.071,0.048,,,,,,0.744,,,,,,,
