,GISS ,QAMC ,MRDS ,IGRD ,NLCS ,MARK ,MPHC ,SALM ,DOBK ,QIIB ,QGTS ,QNNC ,BLDN ,QINS ,ERES ,QNBK ,VFQS ,COMB ,GWCS ,QIMC ,AHCS ,QISB ,QOIS ,KINS ,ORDS ,QIGD ,QGMS ,IQCD ,BRES ,UDCD ,DBIS ,QFLS ,QFBQ ,QEWC ,MKDM ,QANC ,DICO ,MCCS ,MCGS ,FALH ,IHGS ,WDAM ,MERS ,QIIC ,QLMI ,QGIR ,ZHCD ,AABQ ,QCFD 
"Dec 31, 2021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Dec 30, 2021",1.716,1.801,0.920,1.229,0.940,4.640,2.090,0.819,3.200,9.210,3.300,7.638,1.45,2.750,1.341,20.190,1.667,6.749,4.538,3.070,1.084,18.330,0.814,3.600,7.020,2.220,3.180,15.490,3.060,1.540,1.842,18.280,1.568,16.600,5.11,5.100,1.920,4.748,8.498,1.55,3.945,3.594,19.600,8.000,5.05,2.000,,3.648,3.550
"Dec 29, 2021",1.710,1.826,0.929,1.228,0.940,4.840,2.180,0.814,2.950,9.210,3.300,7.606,1.44,2.600,1.330,20.170,1.641,6.680,4.539,3.053,1.052,18.310,0.810,3.637,6.842,2.239,3.210,15.480,3.156,1.580,1.872,17.840,1.564,16.640,5.18,5.100,1.918,4.730,8.389,1.60,4.010,3.536,19.600,8.097,5.10,,15.905,3.619,3.550
"Dec 28, 2021",1.690,1.828,0.902,1.217,0.900,4.851,2.162,0.808,2.950,9.388,3.319,7.598,1.44,2.600,1.320,20.100,1.646,6.683,4.540,3.060,1.036,18.300,0.802,3.520,6.829,2.195,3.200,15.480,3.170,1.586,1.833,17.640,1.533,16.560,5.02,5.100,1.930,4.700,8.262,1.61,3.838,3.539,19.600,7.955,5.01,1.850,15.238,3.667,
"Dec 27, 2021",1.691,1.810,0.909,1.231,0.900,4.860,2.168,0.810,2.950,9.300,3.315,7.600,1.45,2.599,1.345,19.900,1.626,6.684,4.560,,1.025,18.230,0.809,3.555,6.829,2.185,3.200,15.340,3.152,1.560,1.870,17.500,1.542,16.460,5.12,5.100,1.915,4.678,8.235,1.60,3.900,3.572,19.390,7.998,4.99,1.950,15.200,,3.550
"Dec 26, 2021",1.710,1.830,0.930,1.228,0.910,4.840,2.180,0.814,2.955,9.400,3.293,7.599,1.45,2.600,1.382,20.040,1.633,6.690,4.530,3.050,1.030,18.230,0.809,3.610,6.825,2.199,3.195,15.400,3.180,1.555,1.897,17.680,1.534,16.420,5.14,5.100,1.915,4.699,8.163,,3.968,3.611,19.140,8.093,4.97,1.950,,3.714,3.650
"Dec 25, 2021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Dec 24, 2021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Dec 23, 2021",1.688,1.838,0.940,1.250,0.916,4.870,2.190,0.814,2.950,9.375,3.318,7.599,1.45,2.600,1.380,20.190,1.648,6.698,4.528,3.050,1.025,18.230,0.808,3.621,6.835,2.224,3.250,15.470,3.190,1.586,1.940,17.650,1.557,16.490,5.14,5.149,1.905,4.794,8.229,1.61,3.982,3.618,19.230,7.985,4.97,2.000,15.210,3.476,3.520
"Dec 22, 2021",1.670,1.820,0.955,1.269,0.939,4.878,2.211,0.829,2.958,9.390,3.300,7.591,1.45,2.575,1.414,20.020,1.637,6.695,4.565,3.051,1.052,18.280,0.823,3.720,6.788,2.250,3.344,15.470,3.200,1.590,1.987,17.520,1.535,16.490,5.15,,,4.748,8.199,1.61,4.129,3.630,19.300,7.803,4.95,2.000,15.000,,
"Dec 21, 2021",1.687,1.811,0.959,1.284,0.945,4.870,2.190,0.845,2.950,9.370,3.290,7.574,1.45,2.585,1.420,19.900,1.638,6.680,4.578,3.051,1.064,18.180,0.843,3.716,6.788,2.265,3.355,15.400,3.200,1.593,1.996,17.550,1.549,16.650,5.15,5.100,,4.700,8.298,1.61,4.182,3.648,19.290,,5.00,,15.095,3.800,3.753
"Dec 20, 2021",1.689,1.812,0.965,1.278,0.955,4.896,2.204,0.850,2.950,9.363,3.270,7.600,1.45,2.580,1.420,19.930,1.614,6.689,4.600,3.060,1.056,18.240,0.840,3.800,6.806,2.260,3.395,15.240,3.196,1.604,1.978,17.710,1.558,16.690,5.15,5.100,,4.640,8.268,1.60,4.220,3.570,19.130,7.996,4.95,,14.810,,3.700
"Dec 19, 2021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Dec 18, 2021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Dec 17, 2021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Dec 16, 2021",1.735,1.839,0.999,1.306,0.985,4.940,2.230,0.866,2.977,9.401,3.280,7.600,1.48,2.580,1.446,19.900,1.639,6.693,4.650,3.100,1.064,18.200,0.862,3.840,6.840,2.313,3.444,15.130,3.200,1.630,2.067,17.770,1.577,16.770,5.15,5.150,1.940,4.750,8.328,1.61,4.288,3.650,19.300,7.889,4.95,,15.143,,3.480
"Dec 15, 2021",1.732,1.830,1.000,1.315,0.995,4.845,2.227,0.869,2.979,9.385,3.321,7.599,1.48,2.537,1.438,19.780,1.640,6.693,,3.080,1.053,18.120,0.865,3.890,6.909,2.314,3.406,15.000,3.210,1.620,2.072,17.900,1.577,16.920,5.15,5.100,1.907,4.720,8.290,1.58,4.329,3.610,19.110,7.760,4.95,2.039,15.238,,3.750
"Dec 14, 2021",1.738,1.840,1.003,1.330,1.000,4.870,2.238,0.875,2.980,9.407,3.330,7.600,1.48,2.544,1.439,20.000,1.632,6.694,4.640,3.061,1.060,18.250,0.874,3.855,6.920,2.302,3.400,15.350,3.220,1.620,2.078,17.920,1.577,16.890,5.14,5.100,1.906,4.700,8.300,,4.324,3.599,19.200,,4.95,2.000,15.152,3.800,
"Dec 13, 2021",1.734,1.824,1.003,1.331,0.998,4.820,2.180,0.879,2.959,9.399,3.350,7.599,1.48,2.571,1.453,19.990,1.632,6.669,4.640,3.050,1.048,18.100,0.875,3.836,6.813,2.300,3.290,15.180,3.185,1.621,2.104,17.980,1.575,16.880,,5.100,1.930,4.655,8.280,1.52,4.330,3.619,19.240,7.757,4.95,1.960,15.143,3.800,
